Configuration,%HIT@01,HIT@01,%HIT@05,HIT@05,%HIT@10,HIT@10,Average Method Rank,Average Recall,MRR,Constraints
"OPERANDS, 300",0.08361204,25,0.15050167,45,0.19732441,59,2286.1926,0.9899666,0.12177427,299
"CONTEXT, 200",0.02341137,7,0.073578596,22,0.08695652,26,1883.1886,0.99331105,0.04856808,299
"OPERANDS, 400",0.05685619,17,0.10033445,30,0.12374582,37,2051.7095,0.9899666,0.08025277,299
"CONTEXT, 300",0.06020067,18,0.13377926,40,0.18060201,54,1980.0674,0.99331105,0.09575006,299
"CONTEXT, 50",0.013377926,4,0.033444814,10,0.04347826,13,3011.8147,0.99331105,0.025724465,299
"CONTEXT, 400",0.040133778,12,0.09364548,28,0.117056854,35,1775.0168,0.99331105,0.0677486,299
"OPERANDS, 100",0.053511705,16,0.080267556,24,0.10367893,31,2759.804,0.9899666,0.07134847,299
"CONTEXT, 500",0.040133778,12,0.11371238,34,0.14715719,44,1716.303,0.99331105,0.07613863,299
"OPERANDS, 200",0.07023411,21,0.12040134,36,0.13712375,41,2108.3682,0.9899666,0.09428853,299
"CONTEXT, 600",0.08361204,25,0.13377926,40,0.15050167,45,1689.2761,0.99331105,0.111107156,299
"OPERANDS, 50",0.020066889,6,0.04682274,14,0.053511705,16,3031.7332,0.9899666,0.03273729,299
"OPERANDS, 500",0.073578596,22,0.14381272,43,0.15719064,47,2108.1892,0.9899666,0.103275485,299
"OPERANDS, 600",0.07692308,23,0.13712375,41,0.15384616,46,2032.3513,0.9899666,0.110716715,299
"CONTEXT, 100",0.036789298,11,0.073578596,22,0.10367893,31,2670.8955,0.99331105,0.059474703,299
